Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
KNRI11,Híbrido,"142,17","5,78%","5,74%","0,90",3.434.420.000,4.151.440,19,"4.695,86","347,38","7,40%","0,63%"
KNSC11,Títulos e Val. Mob.,"98,18","0,61%","9,67%","1,04",631.293.000,3.007.940,0,"0,00","0,00","0,00%","0,00%"
LASC11,Shoppings,"90,99","2,40%","5,81%","0,88",229.131.000,474.905,2,"3.323,30","0,00","0,00%","2,68%"
LATR11B,Residencial,"120,00","-2,85%","16,82%","4,53",14.892.500,98,1,"0,00","0,00","0,00%","0,00%"
LFTT11,Residencial,"109,99","-3,19%","6,10%","1,81",772.630.000,509.363,404,"16.085,80","4,52","0,03%","0,00%"
LGCP11,Logística,"89,47","8,60%","6,97%","0,91",244.509.000,354.998,5,"3.013,34","271,94","9,02%","0,00%"
LOFT11B,Residencial,"29,90","-34,48%","43,65%","0,35",58.678.800,0,132,"3.994,95","34,60","0,87%","0,00%"
LUGG11,Residencial,"92,59","9,98%","6,37%","0,74",83.331.000,88.365,4,"3.772,51","552,01","14,63%","2,37%"
LVBI11,Logística,"101,63","5,72%","6,17%","0,89",1.196.710.000,2.287.840,8,"2.157,15","162,03","7,51%","0,00%"
MALL11,Shoppings,"97,15","8,49%","6,79%","0,92",734.488.000,1.182.710,5,"3.722,12","380,82","10,23%","5,36%"
MAXR11,Híbrido,"88,10","8,32%","8,79%","0,75",99.170.200,157.167,11,"1.631,34","150,22","9,21%","2,75%"
MBRF11,Outros,"830,00","11,45%","10,60%","0,73",84.381.100,56.061,2,"4.712,66","609,51","12,93%","0,00%"
MCCI11,Títulos e Val. Mob.,"102,95","6,59%","8,34%","1,03",919.076.000,2.945.200,0,"0,00","0,00","0,00%","0,00%"
MCHF11,Títulos e Val. Mob.,"10,10","0,00%","0,98%","1,05",83.907.200,348.800,0,"0,00","0,00","0,00%","0,00%"
MCHY11,Títulos e Val. Mob.,"120,00","1,17%","1,17%","1,20",424.448.000,227.275,0,"0,00","0,00","0,00%","0,00%"
MFAI11,Híbrido,"84,45","1,49%","13,71%","0,92",25.603.000,87.899,0,"0,00","0,00","0,00%","0,00%"
MFII11,Híbrido,"114,65","6,57%","10,59%","0,99",475.442.000,807.917,7,"52,39","0,00","0,00%","0,00%"
MGCR11,Títulos e Val. Mob.,"91,88","3,09%","7,70%","0,97",130.681.000,113.068,0,"0,00","0,00","0,00%","0,00%"
MGFF11,Títulos e Val. Mob.,"70,07","4,44%","9,63%","0,84",634.177.000,1.762.620,0,"0,00","0,00","0,00%","0,00%"
MGHT11,Híbrido,"95,00","4,81%","7,73%","0,96",99.566.500,21.093,1,"8.631,41","245,53","2,84%","0,00%"
MGLG11,Logística,"99,98","0,25%","0,00%","0,99",65.486.900,113.743,3,"2.754,84","0,00","0,00%","0,00%"
MORE11,Títulos e Val. Mob.,"78,80","1,84%","10,89%","0,81",182.746.000,816.985,0,"0,00","0,00","0,00%","0,00%"
MXRF11,Híbrido,"9,98","4,69%","8,69%","0,99",2.255.880.000,6.160.910,2,"11.591,00","0,00","0,00%","100,00%"
NAVT11,Títulos e Val. Mob.,"77,97","2,06%","3,06%","0,82",82.219.900,371.947,0,"0,00","0,00","0,00%","0,00%"
NCHB11,Títulos e Val. Mob.,"95,78","4,78%","10,51%","1,02",138.112.000,93.803,0,"0,00","0,00","0,00%","0,00%"
NEWL11,Híbrido,"102,00","8,11%","12,30%","0,88",207.402.000,98.327,1,"7.698,56","488,12","6,34%","0,00%"
NEWU11,Híbrido,"35,40","-5,72%","0,31%","0,56",26.266.800,5.230,3,"1.886,14","269,54","14,29%","42,33%"
NPAR11,Outros,"14,30","282,88%","205,38%","0,79",1.710.140,12.465,0,"0,00","0,00","0,00%","0,00%"
NSLU11,Hospital,"234,99","8,46%","9,35%","1,10",269.017.000,214.981,1,"11.293,60","1.666,03","14,75%","0,00%"
NVHO11,Hospital,"11,99","10,52%","8,00%","0,97",497.519.000,2.411,4,"16.289,90","1.748,61","10,73%","0,00%"
ONEF11,Lajes Corporativas,"145,95","5,23%","5,35%","0,91",132.960.000,130.546,1,"21.765,60","1.337,50","6,15%","0,00%"
ORPD11,Títulos e Val. Mob.,"133,58","0,00%","0,00%","0,89",38.738.200,24,0,"0,00","0,00","0,00%","0,00%"
OUCY11,Híbrido,"88,50","11,34%","3,25%","0,90",73.617.600,0,4,"3.586,54","332,74","9,28%","0,00%"
OUFF11,Títulos e Val. Mob.,"74,05","7,57%","9,86%","0,86",134.352.000,198.681,0,"0,00","0,00","0,00%","0,00%"
OUJP11,Híbrido,"89,98","7,00%","9,52%","0,87",292.650.000,856.102,0,"0,00","0,00","0,00%","0,00%"
OULG11,Logística,"65,80","16,75%","9,83%","0,71",163.268.000,163.459,2,"1.652,24","330,79","20,02%","48,23%"
OURE11,Híbrido,"87,31","11,50%","7,20%","0,89",72.627.700,98.047,4,"3.538,31","332,74","9,40%","0,00%"
PATC11,Lajes Corporativas,"63,43","5,91%","5,81%","0,74",220.574.000,337.125,7,"14.273,50","939,32","6,58%","13,64%"
PATL11,Logística,"74,30","7,26%","8,91%","0,77",370.871.000,1.131.230,2,"2.382,14","216,64","9,09%","7,45%"
PDDA11B,Logística,"106,50","10,35%","0,00%","1,15",264.257.000,0,2,"2.674,21","330,79","12,37%","48,23%"
PEMA11,Títulos e Val. Mob.,"78,90","4,41%","6,75%","0,81",43.552.800,29.159,0,"0,00","0,00","0,00%","0,00%"
PLCR11,Híbrido,"92,97","9,19%","9,80%","0,97",196.089.000,531.149,0,"0,00","0,00","0,00%","0,00%"
PLOG11,Residencial,"82,50","2,61%","4,23%","0,86",61.875.000,92.051,1,"836,62","24,16","2,89%","0,00%"
PLRI11,Títulos e Val. Mob.,"47,85","-1,57%","33,30%","0,95",45.663.400,6.352,0,"0,00","0,00","0,00%","0,00%"
PORD11,Títulos e Val. Mob.,"95,61","6,95%","11,04%","0,96",356.470.000,985.055,0,"0,00","0,00","0,00%","0,00%"
PQAG11,Logística,"66,89","6,45%","7,00%","1,18",935.918.000,162.157,1,"14.886,20","967,58","6,50%","0,00%"
PQDP11,Shoppings,"2.150,48","8,82%","4,69%","0,59",512.840.000,152.182,1,"1.945,60","91,53","4,70%","3,10%"
PRSN11B,Residencial,"0,61","-3,94%","10,31%","1,35",31.537.000,5.334,2,"66.007,90","0,00","0,00%","0,00%"
PRSV11,Lajes Corporativas,"132,97","9,91%","1,26%","0,56",25.929.200,9.099,1,"2.402,45","469,56","19,54%","40,90%"
PVBI11,Lajes Corporativas,"94,00","5,91%","6,50%","0,94",913.680.000,2.492.950,4,"13.046,90","600,17","4,60%","0,00%"
QAGR11,Outros,"50,30","8,94%","7,42%","0,84",253.512.000,461.507,12,"462,16","41,53","8,99%","0,00%"
QAMI11,Híbrido,"94,35","2,16%","4,37%","1,01",75.611.900,27.359,0,"0,00","0,00","0,00%","0,00%"
QIFF11,Títulos e Val. Mob.,"97,49","4,02%","4,92%","1,02",14.623.500,1.569,0,"0,00","0,00","0,00%","0,00%"
QMFF11,Títulos e Val. Mob.,"98,52","3,98%","3,90%","1,04",14.778.000,0,0,"0,00","0,00","0,00%","0,00%"
RBBV11,Títulos e Val. Mob.,"100,00","6,51%","154,57%","0,99",125.416.000,0,0,"0,00","0,00","0,00%","0,00%"
RBCO11,Lajes Corporativas,"51,77","10,56%","11,89%","0,51",195.639.000,195.666,4,"4.256,36","590,95","13,88%","0,00%"
RBDS11,Residencial,"15,00","-2,36%","13,94%","0,62",1.897.840,2.190,1,"0,00","0,00","0,00%","0,00%"
RBED11,Outros,"137,40","7,98%","8,92%","0,91",277.771.000,180.487,5,"3.420,02","293,84","8,59%","0,00%"
RBFF11,Títulos e Val. Mob.,"60,77","4,74%","9,82%","0,85",227.840.000,598.140,0,"0,00","0,00","0,00%","0,00%"
RBGS11,Shoppings,"36,88","2,70%","4,55%","0,41",39.756.600,22.566,1,"1.365,73","52,68","3,86%","12,38%"
RBHY11,Títulos e Val. Mob.,"103,00","7,04%","6,11%","1,00",61.800.000,105.879,0,"0,00","0,00","0,00%","0,00%"
RBIV11,Títulos e Val. Mob.,"85,30","5,51%","9,01%","0,89",147.363.000,426.314,0,"0,00","0,00","0,00%","0,00%"
RBLG11,Logística,"100,99","4,06%","2,36%","0,94",64.653.700,19.464,1,"289,39","3,09","1,07%","0,00%"
RBRD11,Híbrido,"50,44","7,42%","7,44%","0,70",93.404.100,83.737,4,"3.229,31","309,30","9,58%","27,96%"
RBRF11,Títulos e Val. Mob.,"80,04","5,44%","9,77%","0,89",1.095.010.000,2.687.590,0,"0,00","0,00","0,00%","0,00%"
RBRL11,Logística,"102,15","4,82%","7,69%","0,95",683.081.000,750.893,6,"2.608,29","140,58","5,39%","15,82%"
RBRM11,Títulos e Val. Mob.,"160.000,00","50,77%","68,89%","1,16",86.240.000,0,0,"0,00","0,00","0,00%","0,00%"
RBRP11,Outros,"79,86","4,89%","7,05%","0,92",972.630.000,1.841.460,11,"13.300,50","574,72","4,32%","48,12%"
RBRR11,Títulos e Val. Mob.,"97,76","3,38%","7,92%","0,98",1.013.020.000,3.430.790,0,"0,00","0,00","0,00%","0,00%"
RBRS11,Híbrido,"70,00","4,08%","5,81%","0,73",73.125.000,39.443,3,"9.202,87","241,55","2,62%","2,24%"
RBRY11,Títulos e Val. Mob.,"99,44","4,77%","8,96%","0,96",337.813.000,581.801,0,"0,00","0,00","0,00%","0,00%"
RBVA11,Outros,"110,67","5,85%","9,83%","0,97",1.282.470.000,1.003.490,87,"8.770,76","872,56","9,95%","0,00%"
RBVO11,,"12,85","5,54%","4,70%","0,59",6.628.340,4.253,0,"0,00","0,00","0,00%","0,00%"
RCFF11,Títulos e Val. Mob.,"102,90","1,92%","4,84%","1,07",33.257.300,1.600,0,"0,00","0,00","0,00%","0,00%"
RCRB11,Lajes Corporativas,"142,00","4,89%","6,80%","0,72",524.079.000,466.605,10,"11.313,00","719,58","6,36%","7,54%"
RCRI11B,Híbrido,"1.200,00","4,39%","3,08%","1,16",61.214.400,0,0,"0,00","0,00","0,00%","0,00%"
RDES11,Híbrido,"58,00","-3,49%","0,00%","0,92",43.036.000,0,3,"3.090,29","269,54","8,72%","42,33%"
RDPD11,Títulos e Val. Mob.,"68,40","2,50%","6,47%","0,96",73.738.100,196.433,0,"0,00","0,00","0,00%","0,00%"
RECR11,Títulos e Val. Mob.,"105,63","7,82%","13,14%","1,10",2.047.030.000,6.532.860,0,"0,00","0,00","0,00%","0,00%"
RECT11,Híbrido,"75,85","9,21%","10,32%","0,81",620.403.000,1.237.560,8,"8.278,47","956,35","11,55%","34,99%"
RECX11,Títulos e Val. Mob.,"103,50","1,96%","3,49%","1,12",20.508.600,8.545,0,"0,00","0,00","0,00%","0,00%"
REIT11,Títulos e Val. Mob.,"900,00","10,80%","50,98%","0,93",23.661.900,209,0,"0,00","0,00","0,00%","0,00%"
RELG11,Híbrido,"89,31","3,49%","6,31%","0,93",119.190.000,257.099,3,"1.843,37","67,69","3,67%","15,10%"
RFOF11,Títulos e Val. Mob.,"79,17","5,66%","9,51%","0,86",85.358.200,260.726,0,"0,00","0,00","0,00%","0,00%"
RNDP11,Títulos e Val. Mob.,"704,00","4,07%","46,58%","0,92",75.666.600,200.141,0,"0,00","0,00","0,00%","0,00%"
RNGO11,Lajes Corporativas,"57,60","8,90%","8,38%","0,57",154.138.000,200.933,4,"2.824,50","328,20","11,62%","18,16%"
RRCI11,Títulos e Val. Mob.,"81,00","5,66%","7,43%","0,84",39.022.300,185.131,0,"0,00","0,00","0,00%","0,00%"
RVBI11,Títulos e Val. Mob.,"92,09","5,42%","8,78%","1,00",132.610.000,450.275,0,"0,00","0,00","0,00%","0,00%"
RZAK11,Títulos e Val. Mob.,"92,22","0,21%","4,56%","0,95",276.820.000,1.513.930,0,"0,00","0,00","0,00%","0,00%"
RZTR11,Híbrido,"97,41","4,66%","7,98%","0,98",1.076.190.000,2.827.700,11,"1,89","0,16","8,39%","0,00%"
SADI11,Títulos e Val. Mob.,"82,69","3,08%","3,52%","0,82",262.971.000,198.406,0,"0,00","0,00","0,00%","0,00%"
SAIC11B,Lajes Corporativas,"36,05","-1,46%","0,00%","0,66",51.542.100,1,1,"4.381,54","0,00","0,00%","100,00%"
SARE11,Híbrido,"85,95","3,29%","6,74%","0,86",793.691.000,964.340,2,"5.171,01","469,87","9,09%","0,00%"
SCPF11,Shoppings,"8,79","2,05%","2,36%","0,69",36.918.000,7.974,1,"7.563,68","569,14","7,52%","27,87%"
SDIL11,Logística,"89,09","6,32%","8,00%","0,89",569.735.000,765.289,4,"3.304,96","197,50","5,98%","7,98%"
SDIP11,Lajes Corporativas,"88,00","5,80%","0,00%","0,93",371.533.000,0,5,"10.990,00","618,08","5,62%","13,28%"
SEQR11,Outros,"80,20","3,77%","5,03%","0,75",118.861.000,209.783,1,"4.028,14","381,19","9,46%","0,00%"
SHDP11B,Shoppings,"1.210,05","2,62%","3,90%","0,81",1.750.560.000,0,1,"13.301,50","399,64","3,00%","3,10%"
SHPH11,Shoppings,"799,68","3,14%","3,89%","0,97",486.965.000,185.423,1,"14.367,20","776,64","5,41%","12,16%"
SNCR11,Híbrido,"97,80","13,39%","0,00%","0,96",116.115.000,0,0,"0,00","0,00","0,00%","0,00%"
SNFF11,Títulos e Val. Mob.,"94,99","0,41%","1,13%","0,98",237.475.000,926.693,0,"0,00","0,00","0,00%","0,00%"
SOLR11,Híbrido,"1.220,00","6,82%","3,21%","1,21",76.717.300,0,1,"9.418,40","707,21","7,51%","0,00%"
SPTW11,Lajes Corporativas,"57,69","22,59%","44,29%","1,11",103.727.000,370.935,1,"4.753,05","1.062,98","22,36%","0,00%"
STRX11,Híbrido,"15.816,00","0,03%","3,04%","86,41",25.520.000.000,0,2,"270.048,00","95,05","0,04%","20,00%"
TBOF11,Lajes Corporativas,"101,50","-0,09%","0,00%","869,01",1.020.080.000,0,0,"0,00","0,00","0,00%","0,00%"
TEPP11,Lajes Corporativas,"72,56","7,03%","7,64%","0,77",306.346.000,623.270,5,"9.061,79","618,08","6,82%","13,28%"
TGAR11,Híbrido,"128,19","5,45%","10,77%","0,98",1.449.770.000,3.533.800,5,"69,52","0,54","0,78%","0,00%"
THRA11,Lajes Corporativas,"138,50","4,00%","112,94%","14,52",203.973.000,7.945,1,"0,00","967,91","0,00%","17,42%"
TORD11,Híbrido,"9,89","4,68%","12,20%","0,97",346.658.000,1.064.740,0,"0,00","0,00","0,00%","0,00%"
TOUR11,Residencial,"230,00","-0,79%","16,32%","1,80",186.300.000,31.331,3,"3.541,03","0,00","0,00%","0,00%"
TRNT11,Lajes Corporativas,"121,99","4,44%","4,58%","0,59",480.099.000,20.188,1,"7.610,47","586,21","7,70%","53,94%"
TRXB11,Híbrido,"125,30","9,53%","7,49%","1,22",313.428.000,855.118,12,"3.390,44","371,20","10,95%","0,00%"
TRXF11,Híbrido,"102,05","6,02%","7,95%","0,98",575.717.000,2.525.820,22,"1.911,60","183,39","9,59%","0,00%"
TRXL11,Híbrido,"103,38","4,51%","0,00%","1,02",1.574.370.000,0,10,"5.141,81","165,71","3,22%","2,29%"
TSER11,Lajes Corporativas,"105,00","1,70%","1,52%","1,06",126.525.000,2.626,1,"2.485,27","33,73","1,36%","0,00%"
UBSR11,Títulos e Val. Mob.,"102,50","8,06%","0,68%","1,07",1.986.370.000,0,0,"0,00","0,00","0,00%","0,00%"
URPR11,Outros,"119,11","9,39%","18,02%","1,21",197.774.000,3.818.520,0,"0,00","0,00","0,00%","0,00%"
VCJR11,Títulos e Val. Mob.,"94,71","4,56%","10,51%","0,96",1.099.000.000,867.333,0,"0,00","0,00","0,00%","0,00%"
VCRR11,Residencial,"103,00","0,71%","1,95%","1,05",206.000.000,47.143,4,"3.206,64","0,00","0,00%","0,00%"
VERE11,Outros,"257,00","12,75%","11,41%","0,82",141.372.000,0,3,"1.478,34","307,59","20,81%","28,47%"
VGHF11,Híbrido,"10,03","-1,06%","6,89%","1,04",165.203.000,749.926,0,"0,00","0,00","0,00%","0,00%"
VGIP11,Títulos e Val. Mob.,"100,78","3,94%","12,12%","1,05",741.124.000,2.134.630,0,"0,00","0,00","0,00%","0,00%"
VGIR11,Títulos e Val. Mob.,"94,28","1,90%","6,18%","0,97",424.865.000,750.570,0,"0,00","0,00","0,00%","0,00%"
VIFI11,Títulos e Val. Mob.,"80,58","4,29%","9,20%","0,83",226.618.000,318.451,0,"0,00","0,00","0,00%","0,00%"
VILG11,Logística,"106,49","4,61%","6,25%","0,93",1.597.070.000,3.486.850,15,"2.648,02","151,00","5,70%","0,39%"
VINO11,Lajes Corporativas,"59,38","6,45%","8,79%","1,00",752.574.000,1.841.000,9,"14.441,10","992,57","6,87%","0,00%"
VISC11,Shoppings,"102,00","3,98%","4,87%","0,85",1.455.640.000,3.013.360,15,"2.674,77","132,82","4,97%","8,19%"
VIUR11,Outros,"86,68","0,84%","2,30%","0,90",233.570.000,367.092,5,"3.049,61","17,80","0,58%","0,00%"
VLOL11,Lajes Corporativas,"94,44","4,30%","5,51%","0,97",168.559.000,102.189,1,"16.101,40","800,58","4,97%","3,63%"
VOTS11,Títulos e Val. Mob.,"83,84","1,51%","6,89%","0,84",69.412.200,1.522,0,"0,00","0,00","0,00%","0,00%"
VRTA11,Títulos e Val. Mob.,"108,04","8,65%","9,93%","1,09",1.080.400.000,1.784.510,0,"0,00","0,00","0,00%","0,00%"
VSEC11,Títulos e Val. Mob.,"75,55","336,25%","10,14%","0,76",4.739.630,1.509,0,"0,00","0,00","0,00%","0,00%"
VSHO11,Shoppings,"82,96","1,63%","3,77%","0,82",174.116.000,25.613,3,"2.278,67","179,83","7,89%","7,84%"
VSLH11,Outros,"10,03","2,07%","6,46%","1,00",264.792.000,1.387.440,0,"0,00","0,00","0,00%","0,00%"
VTLT11,Logística,"97,80","9,07%","9,13%","0,96",206.847.000,342.249,1,"806,29","85,08","10,55%","0,00%"
VVPR11,Híbrido,"98,00","6,85%","7,94%","0,95",225.966.000,534.414,6,"2.667,52","252,00","9,45%","0,00%"
VXXV11,Outros,"819,17","0,26%","0,00%","1,62",42.596.800,213.261,0,"0,00","0,00","0,00%","0,00%"
WPLZ11,Shoppings,"60,00","-0,46%","0,17%","0,58",61.244.800,10.877,1,"1.641,16","7,05","0,43%","11,13%"
WTSP11B,Híbrido,"45,46","5,90%","4,36%","0,57",45.122.000,274,1,"3.703,84","333,50","9,00%","6,80%"
XPCI11,Títulos e Val. Mob.,"100,15","10,47%","9,82%","1,04",657.686.000,3.348.340,0,"0,00","0,00","0,00%","0,00%"
XPCM11,Lajes Corporativas,"29,90","28,49%","23,12%","0,42",72.195.600,342.110,1,"3.090,40","989,80","32,03%","100,00%"
XPHT11,Hotel,"90,00","-0,28%","0,00%","1,04",342.418.000,70.371,11,"13.970,60","4,79","0,03%","0,00%"
XPIN11,Outros,"95,31","10,01%","7,82%","0,85",627.766.000,1.097.250,91,"2.321,55","309,83","13,35%","10,63%"
XPLG11,Logística,"105,47","8,24%","6,77%","0,95",2.858.350.000,4.825.360,15,"2.025,56","206,82","10,21%","0,78%"
XPML11,Shoppings,"102,28","2,85%","4,44%","0,98",1.862.280.000,3.909.480,10,"4.888,10","214,37","4,39%","5,47%"
XPPR11,Outros,"68,92","8,44%","9,58%","0,80",504.230.000,1.362.820,6,"9.853,67","630,14","6,39%","36,80%"
XPSF11,Títulos e Val. Mob.,"84,80","0,29%","11,50%","0,90",367.202.000,1.137.330,0,"0,00","0,00","0,00%","0,00%"
XTED11,Lajes Corporativas,"6,80","-6,90%","0,00%","0,50",13.132.400,9.062,1,"1.732,37","0,00","0,00%","0,00%"
YCHY11,Híbrido,"1.000,00","0,30%","0,00%","9,71",1.597.570.000,0,6,"3.735,11","20,85","0,56%","0,00%"
